Id,Class,Size,Q,Q/Size
1kouSC7XqwfbyQVWnGZg,1,1003520,13108,1.31
1l5V2AwZS9ixLMmecCkp,1,290816,6304,2.17
1LE6uK9BdgNXIcSTnrMJ,1,299008,1320,0.44
1libdFwcBaLtXRCmMZGe,1,131072,8472,6.46
1mStzMaQ8RUVBx7TkF4o,1,147456,26292,17.83
1mTVBq2nUDktewXxNH7W,1,143360,10468,7.3
1OHzGWXBTlpyVsIPK3kj,1,221184,23796,10.76
1pf8sevSo3OYJnhcZX6M,1,270336,12712,4.7
1ptMdWPB4IvREzafL2S9,1,135168,1076,0.8
1q92fF8uKHitWlaIkXzQ,1,610304,9028,1.48
1RKde4WYoA7c5N8lEHtv,1,147456,4600,3.12
1Rr0hWX8Qz6nm3IgYLuF,1,417792,14632,3.5
1SH4t9y0IAoE8QP5NvXp,1,143360,120,0.08
1smUAv6epFKI7kbR3u0G,1,188416,4368,2.32
1TieqSEpxIa6BmcGFsvM,1,155648,4336,2.79
1TKPznCeQg9cHYflavwb,1,172032,7440,4.32
1tO3IYLhvDx6CKoHamQb,1,573440,600,0.1
1tzCLRxMuGS0yKI3lj8c,1,258048,11512,4.46
1u3PmQiD0bX6RcgoCNKe,1,978944,28424,2.9
1xGM8wcYTV4pQFhJBd2f,1,704512,19756,2.8
1xhTCaBpdsUkSWNr4fg2,1,217088,13732,6.33
1zb0rkEtweXH7ABuqoM2,1,1740800,34688,1.99
2037kCYJ5fZKPw4oDGX1,1,147456,420,0.28
21l6hcFemsiIapSqw8XO,1,622592,43028,6.91
23L6M58iTRC4rNHlIFDy,1,1159168,3404,0.29
23X8YxaVuUHGecPoCtlN,1,172032,4344,2.53
25MVSaOYETk0ueIroJ1L,1,143360,23196,16.18
25r7AlY4VJojhNEcOW6x,1,188416,8600,4.56
27wyEMFY6QlxGfzpZ3iq,1,159744,5704,3.57
28k1chbvla3x9HorWNnO,1,380928,504,0.13
29NR1zBEDCPM5xntsdlA,1,405504,25404,6.26
2A6SgLfdzGEopT7XcQhD,1,163840,22272,13.59
2AkLpJEONXZSefoC0BgQ,1,430080,24624,5.73
2BcVLYAwvCqM37U6bkj9,1,184320,28344,15.38
2bcyFiRa8zKBolCGZSvO,1,241664,856,0.35
2bdnyMU3XQlIA5grPeZm,1,118784,13944,11.74
2DBKbxPnVCyiLzqAHU9c,1,507904,8852,1.74
2edniWaG7lVIHuAsN1MQ,1,278528,44336,15.92
2eqnSQrGfCXupwkDtIJ6,1,253952,1020,0.4
2eSoCjQzDri3E0cuxUYb,1,196608,10128,5.15
2F5DOMVLNGfQKePHdwru,1,385024,980,0.25
2F6ZfVCQRi3vrwcj4zxL,1,131072,336,0.26
2fl8q7dsoC1PwApx6QNg,1,479232,19252,4.02
2FM7DbSIHweyXBx8UVNQ,1,1564672,12096,0.77
2H0bSg5eIqnYLrNpsaAh,1,389120,5036,1.29
2HesW5JxQNOGSIUubRzX,1,122880,10952,8.91
2iKeU7DIk9Rdyf4hc8vr,1,708608,14696,2.07
2JpYoHqMfAI5jnlGDgFs,1,208896,4040,1.93
2L8o4lH63UGR1hPEnztQ,1,245760,8528,3.47
2lv0CPzQVLwtcAKZT1FB,1,1777664,170460,9.59
2M9jHWhCOGBtY4Jbsvcy,1,217088,16804,7.74
2oHOw4StzEV0hiKq3ByD,1,528384,25556,4.84
2oUnGI7b6Cr93eESp0mB,1,1810432,18064,1.0
2oUq3FLziRydvHSXM7na,1,294912,8668,2.94
2oyTpmYF4tSuBH9kXQc7,1,221184,248,0.11
2PFLzYNrp1d96DAVQlIk,1,188416,24344,12.92
2PKeuzXhpxc8MU7HZyIW,1,139264,18140,13.03
2qgetG9lN5EZdfQXH4a8,1,548864,19272,3.51
2Qn5kEMv9rXOHBaVWsYf,1,196608,22264,11.32
2QrbygLtTNwiOBfpoGCv,1,909312,75520,8.31
2qTFb1xySrO5Z0UBlhRi,1,274432,8760,3.19
2riyIFwQHLl3GnakxJEj,1,1437696,15580,1.08
2RsBPMStVQNc7x3kgYde,1,487424,8464,1.74
2SnRYbpqifxILdT4Wg9m,1,765952,368796,48.15
2sv7DuVoamrNGYISKzxP,1,315392,29452,9.34
2T9zBqN60tJEQmOblyM8,1,241664,20428,8.45
2uKJ96CnsBpH7LqWVOTD,1,184320,29868,16.2
2uwHk0ITbfVelsUgRt7o,1,335872,4868,1.45
2vN1Rihuanrg6UZoQqxV,1,561152,12948,2.31
2w9vSPLphY6jDmQlX3yb,1,585728,1496,0.26
2WZUxR417IeGpiFkEYDu,1,249856,768,0.31
2xXOy0GfquKYWIpsPa3n,1,385024,9020,2.34
2zhCBgyKOjI10uYixDAZ,1,172032,4344,2.53
2ZkEC4YJ9vO1dHy3Nb68,1,348160,4680,1.34
2ZPDI3tv7UdhkfRWu54L,1,622592,13340,2.14
31KjQiNWATfPaozHtYOl,1,2609152,2068912,79.29
31vEFJmeXuz6nfrOWUka,1,221184,4920,2.22
34jRfVmwv6dAsgzuH1TG,1,385024,880,0.23
36wkArG90VEziKRNn4WM,1,192512,7500,3.9
37hj4GErYayxeWokIlLO,1,155648,12144,7.8
39gowdFUK2kGxcBnbALH,1,311296,452,0.15
3aAduIoFRi8fj6Q54xNz,1,311296,32660,10.49
3ajDbkt0X6TLUuHKYZhs,1,176128,8556,4.86
3AnwI4dqXDW8PQ7ijCKm,1,147456,22728,15.41
3aUTHQpJqC8czb1yohmA,1,262144,4780,1.82
3bapyeGYC5Zot4Sm1NOd,1,1839104,172,0.01
3cOQWb04rxmgsYS8nfNK,1,315392,608,0.19
3CyxQdJhW5trsfwIz4ik,1,348160,8568,2.46
3DPkmSKTydJUFQ19Ol4s,1,557056,15648,2.81
3e0TBEVcdHMa57Dh1woq,1,274432,556,0.2
3EdJ5pSORwmeINfjaglQ,1,221184,9136,4.13
3ekVow2ajZHbTnBcsDfX,1,118784,36,0.03
3EzMAgjUT5qkPRJvOYhS,1,155648,26808,17.22
3fgX5GuthkIcJaTvP9UN,1,208896,10072,4.82
3Fq6Hra0DR4YuigChWel,1,135168,288,0.21
3fxHsVZeOikwBYzM5KCJ,1,303104,4512,1.49
3GIiqFjPozTtc4Kms2NW,1,151552,10344,6.83
3GlD7TZI6F5ExPqHs0a1,1,188416,4336,2.3
3I8UmNjSvVu5sblAYfXB,1,167936,12728,7.58
3IxTl7gVswPM9eJDkapX,1,471040,18920,4.02
3JCnTRxD1aOUXlqr854L,1,1282048,18568,1.45
3jgZFtCA0oPpxkvBU56L,1,1925120,1816,0.09
3JkuxSQe9OwRfKFLzWrg,1,536576,2412,0.45
3jRZMsoI9VmuhTGnUrQi,1,208896,23624,11.31
3kETNFWJXPAwmR6BlYf5,1,217088,13188,6.07
3kKFSINOJQtmcxXyq6LR,1,851968,7372,0.87
3kXqmsjc6JxO0g8uQZWB,1,221184,16216,7.33
3LOYzcPQdE7yresjlXVm,1,266240,13596,5.11
3njKFSaLcsNydxXDA8q9,1,249856,768,0.31
3nZODLNAGgEF76dck14t,1,126976,188,0.15
3o1eL8jrlyb7MY6NASQi,1,155648,24744,15.9
3ojXTJ7uAkvVnimG5rpL,1,204800,25332,12.37
3OnsTxklQ4ei68fEDdhz,1,196608,480,0.24
3OYkjEMJPUWF5Si1ATZ9,1,180224,26300,14.59
3PUsV4jflnCw8mGHZIgK,1,151552,6036,3.98
3qTBeSjiWwaUAmP5y1xs,1,135168,10892,8.06
3SHYJ561ndFZAqWT4sND,1,421888,20200,4.79
3ubKM2fLx4GCX1Eqkh0i,1,155648,4428,2.84
3uMRSqGw1TtKUm5dz6fW,1,122880,8404,6.84
3v1ySaG5qjMuW90T7EiH,1,544768,21884,4.02
3v7fe0Diw9cOu6dAzsaE,1,143360,9536,6.65
3WfGisHe7lkxVFN8cjXz,1,274432,21760,7.93
3X0ULNpuso5MKmZb1Sty,1,180224,9156,5.08
3X2nY7iQaPBIWDrAZqJe,1,114688,13848,12.07
3xhmsIkdn7FPL4G9a0Qg,1,225280,14724,6.54
3yHaDhqlkp67fzMQAgxc,1,208896,8872,4.25
3zDoZM6sSC2E9X4dtlB5,1,630784,10616,1.68
418XPavxNpslKmeoTUwJ,1,241664,292,0.12
41wOoxNbCqTKQImafyDJ,1,221184,7420,3.35
420SDzWFNamqIiHBYjPu,1,376832,19232,5.1
42KmWtQBnkgxcUPvhMGu,1,167936,128,0.08
46OZzdsSKDCFV8h7XWxf,1,114688,11820,10.31
46ywoHZAMYPuqcbVQpUT,1,204800,304,0.15
49buyig6pa25Z1IAqtSr,1,253952,16936,6.67
4a6EMlDsOtq7z3hNuTdS,1,172032,4356,2.53
4ACdoN6gKbsxJfklGT9Z,1,344064,336,0.1
4aY3eBDuOCmIMKQfbVgr,1,151552,4492,2.96
4bEmQThjKsiSPcFfzv1q,1,184320,468,0.25
4boIVf8XqkEQ3ZRTjdiz,1,638976,1236,0.19
4EBf7SbnDG6LH0Jeqzk2,1,131072,13968,10.66
4eIl5buqShKLrw0dZYMG,1,163840,25872,15.79
4ETQ9c3BOJ7YKNpFt0Ln,1,258048,4776,1.85
4f91UESFtRDrnLdyZOCN,1,1175552,17040,1.45
4Fg0cdWwAjeBu5VPJzmM,1,462848,18948,4.09
4flnV7Xk0PyZ5ojuIiQc,1,139264,5944,4.27
4fuBOsA3MzoUyhHq1Dwg,1,159744,5704,3.57
4g2UZv3nOGWbTCiptDsQ,1,155648,356,0.23
4gmLdiWMqTFlR0UhBY7b,1,311296,22260,7.15
4IjXuwLqD3f9tsRaAnMb,1,151552,352,0.23
4iLgBPqdDRz3vtYKJ9aF,1,1015808,778608,76.65
4JrEyAeIS67UPfkYVz52,1,1437696,25856,1.8
4KgGClw1aNsMP8TWRFio,1,258048,25384,9.84
4kKcuD5YGjy8QtUh6Vm1,1,1642496,384,0.02
4KSqD2j0yXBPGgskLCFa,1,294912,38740,13.14
4l7o0adxGiDvStmFVnzb,1,327680,832,0.25
4lCg5d8GD17tpwQso6RZ,1,126976,11464,9.03
4LmXA1gc7unUyMPvFQob,1,184320,28872,15.66
4M9zLZjcgVbWiyINDEGp,1,118784,10364,8.73
4mETUDblC7Ffhq5yoK8c,1,229376,13576,5.92
4n5LKPoBHSyfNz6iWJeQ,1,282624,116,0.04
4oGUEFhwqTxk6Ku5Q9N1,1,577536,5408,0.94
4oukFyPdeRqwVKIQrc8C,1,188416,520,0.28
4pd6mnJHiweUgAIjNubQ,1,204800,28640,13.98
4pehWH6b9IgL3ZF7uJCG,1,1810432,20112,1.11
4pQWju6nLDqSwUIiZhs3,1,450560,4712,1.05
4QlfSpex83Nsh2oBcWXv,1,159744,136,0.09
4r5lOkQTuIs7CHygqLYN,1,167936,4336,2.58
4rQn1u9Ygp2ZahEk8mM6,1,253952,15176,5.98
4SBiOYxhVHqXWgKwtdLG,1,151552,8240,5.44
4SjLXYDV0JuCaKdmNHGv,1,278528,472,0.17
4sPNK2e8VEkXb5t1odf9,1,155648,26272,16.88
4SuwT5vFQc1YN70iegLx,1,1122304,27600,2.46
4TERbWHyu2GCfxmgvF39,1,188416,612,0.32
4uTz3lUCb8gwtRy02Vk6,1,1380352,11328,0.82
4vfLo0M1ODSRVyJzkX5b,1,331776,5468,1.65
4VKhCWNBkJxvnOreStys,1,147456,20172,13.68
4wIxhDlpCbJVkZLfHKtP,1,1810432,21136,1.17
4wJsmEQAIdSi9BXK1g2o,1,147456,24232,16.43
4wvKaeRqlQSBEP9nLOMI,1,413696,41476,10.03
4XEdp5nArx9TN3qZ62kf,1,245760,9372,3.81
4xli1n8H7ez9aR5vbPSN,1,200704,14404,7.18
4y09ZDr5jWIsNSfkFHzO,1,131072,14484,11.05
4ZMDs6aAF8hWwTJuIPeX,1,839680,8836,1.05
50f7jCS4w3hED2ueRosN,1,393216,9040,2.3
52Vdf3czIoBaAFsv8gmy,1,131072,524,0.4
56xz9YhvW0CwotDpBnMQ,1,905216,8204,0.91
5764RnJYTirWq1utgdkN,1,462848,18320,3.96
58h7Q0perUzCyg3KHZPN,1,147456,308,0.21
58kxhXouHzFd4g3rmInB,1,172032,172032,100.0
58nzDrNVjhdog7QYkxe4,1,360448,38504,10.68
5a3BqXVrZdHKFeMiuyox,1,155648,12904,8.29
5AWgucYh0Hr6K8tNBMQq,1,319488,1276,0.4
5DTUziJFLRQ17phBsOfE,1,118784,10884,9.16
5ePdLKZoCV9nv0xIWcl4,1,708608,12624,1.78
5EwhdlmstoBPqi36ZUAN,1,180224,616,0.34
5GpVKiAvyOcJlnaSZkfx,1,131072,296,0.23
5ha8CD4kXfvpQ2oGwNcB,1,147456,17244,11.69
5HoI9qyLeGvARjSNTOnK,1,126976,10952,8.63
5iJsI0VCgF2D1Gukdayc,1,147456,25360,17.2
5jqWz0imIyErK3t1RLv4,1,421888,8928,2.12
5JtRNUe8giGB2j3C7mov,1,151552,21340,14.08
5KZSxj8gGDcdu1bs0v76,1,671744,8424,1.25
5LTIfdPNmeBt027KkVlb,1,380928,9020,2.37
5M1NF3uPvts98WBGUi0E,1,520192,26628,5.12
5mcXAfSQWlV43hb6Ns1d,1,647168,4632,0.72
5mFA9kajVz67sSR8YNGL,1,294912,13464,4.57
5mS2M1zjfQZ9HAVIFeLc,1,114688,80,0.07
5mThHDbEpSQAYq3F1xvz,1,176128,244,0.14
5NAQh3w9SULO24RtEM6b,1,114688,6220,5.42
5nPbr70kNiOSQGZmL8IH,1,598016,620,0.1
5NyhVH1xZIwS4CFu93Rl,1,184320,26288,14.26
5Of9sWRiPv6dZwHIEqtS,1,126976,676,0.53
5Oo2bJ70FIKqHBfgUymk,1,143360,16744,11.68
5OsZTkXgflhr4VAFmxE7,1,139264,152,0.11
5PIwjdM6ROvnbiN9Dx0a,1,229376,8512,3.71
5pQS3Z7bW1c84XRhmJYx,1,237568,21368,8.99
5PqXJeyYtTAQLMca6mCB,1,602112,176964,29.39
5PutEYBseLzSyT4mdpIb,1,131072,23116,17.64
5QAGYlNrgvSIeRxDH294,1,114688,13340,11.63
5QdqPwbTmEL9j6DR8poB,1,851968,241832,28.39
5qh0jnJ9X3N4rimob6Wg,1,229376,19832,8.65
5QkxLnYPlrhFpwDCZ67W,1,266240,4340,1.63
5RfoZwcqXmDYSpEyNGF3,1,159744,4396,2.75
5SGjeWfq2M9btVgF78rp,1,172032,372,0.22
5SgZNAyTDU8FCiEvwX7k,1,610304,26820,4.39
5Su9y2pdWjXihsICkxUF,1,143360,8580,5.98
5SUMnGsTvqBlJb24hy0A,1,864256,2124,0.25
5tgsDzdZ9xMm8F47WNrv,1,126976,360,0.28
5TYzgLhQumXGqJe83bDn,1,217088,276,0.13
5UEJYb3qLkPlWiV2gz8T,1,286720,11640,4.06
5Um2hXGgeCVPwdtInObq,1,319488,4864,1.52
5UuSl3msMYk6Q7OiNHvR,1,163840,10000,6.1
5vcEstbVjzK9FgqAO7Pd,1,159744,28840,18.05
5VcsRv2Sfz9yJApielx4,1,155648,4328,2.78
5w6GuqFsfkxg7TWIDQBY,1,155648,11372,7.31
5Wj7vbRmSAoHI2Dfsql3,1,192512,5092,2.65
5YFaPQwRb9Z6tMnkyvcd,1,1437696,25856,1.8
5YnsX6MpV1tAx4o8ZIdU,1,184320,25784,13.99
5YxvIRpAnTkW7KBDHyJP,1,503808,9328,1.85
5znLPJCcVseR4NTd79Sw,1,602112,11732,1.95
60gR3qnjoYPf4rpbCOSk,1,184320,27812,15.09
63RfPeChL1tsJwy2lVHo,1,118784,80,0.07
64ZtULx71bBcduDiY8GO,1,143360,520,0.36
67HtTa9RSq1vKfcA2PXB,1,192512,10096,5.24
68icCkFVRJK5UtxLOqIu,1,319488,10108,3.16
69jsYQMcGwzrBLUPRb5e,1,724992,119404,16.47
6a5yQixgGtr7ZEOoFVUp,1,237568,4524,1.9
6ADJCkZ35PmTsEnzRINX,1,159744,13424,8.4
6aTHENeI5PBYgzJndM7V,1,122880,10440,8.5
6bu0NZAsYoiUlCjEyH4X,1,176128,16636,9.45
6ByMewHIzS0LpsWdXZU1,1,716800,209188,29.18
6G0EdXzZTPkbhoucn8RK,1,274432,11496,4.19
6GXdqZuQkcfbNyJA9gpx,1,192512,29872,15.52
6hRaK4DkcXoZfI32BzH0,1,491520,4712,0.96
6hsJVLzbaO4P8IGZcvrT,1,303104,8476,2.8
6JckVCSUd5azvlGjBtbu,1,180224,308,0.17
6K8qujACMe4Q2GrzHRan,1,634880,13636,2.15
6KDiSvjJq215CNuoGzH8,1,143360,9964,6.95
6LICDZ7ujOWYomKvcwPM,1,163840,412,0.25
6LJuRVBNSdWGlaC7KbqQ,1,368640,788,0.21
6LK1nVc8N7aHAyjbFWYT,1,454656,7760,1.71
6MFXjyhwL9xW4dme1OcU,1,360448,656,0.18
6mGvPyTaWit3wcogY9jO,1,122880,7308,5.95
6pvAOQCLGgPa1EKniNW0,1,299008,344,0.12
6q5pP72VsJa03IoXRwKd,1,196608,12844,6.53
6QAVaZX5SgTDHUpc3fMn,1,806912,26456,3.28
6QxDV7wqj0SEsmWHzuNp,1,204800,8632,4.21
6RIhg1UYy9uEOLXsQFSq,1,118784,13912,11.71
6rM5fgWPyUekZKsNmTzV,1,200704,30176,15.04
6rtCpa7TSAiKQZsORYPd,1,389120,4928,1.27
6SHqMnAlwd79OrYL50Ti,1,446464,4712,1.06
6slf2AGqxWCP53Z9NuhI,1,290816,420,0.14
6SMZ0wGN2p3hv9rFEVcb,1,274432,19220,7.0
6sWpIKmX2qS91GMtUy3Z,1,372736,4736,1.27
6TcBvxAgWEJNjLeGPoQi,1,188416,23892,12.68
6tfw0xSL2FNHOCJBdlaA,1,606208,606208,100.0
6tIbeDRa0jfnZYcFqVdL,1,176128,27920,15.85
6tMgf5pGIsvHSn83WZyx,1,753664,4868,0.65
6TUw1J5DR47dAgmjHLOs,1,417792,13412,3.21
6Ty0HzvEdYNFnmiafxgL,1,348160,9068,2.6
6unp3PJlh9AoH5tsOE12,1,172032,284,0.17
6w02fn5UqNDMd1tISWKc,1,790528,8544,1.08
6W20HbpENsA7BvlF3SLG,1,638976,22116,3.46
6YJyE0SvstChMfNp1TbG,1,282624,52808,18.68
6zjI3os7KiycXwLqM9VE,1,425984,172,0.04
6ZO9dMHY5JkCofwTSyvm,1,1097728,172660,15.73
6zYSlNx9tBbUJkT0aGhr,1,200704,528,0.26
72Aksjb4NMtae3whWUE6,1,1048576,741660,70.73
75kSfRBJKbHzOQIgGsa4,1,1507328,38416,2.55
76cGRgDJyFW08rY1tz59,1,159744,668,0.42
78LEYtRhNmAP9Oogdv2Q,1,1003520,11084,1.1
7A10IwRlFPe2x9KhagSV,1,122880,14012,11.4
7a5RVl9htyOJcBUK4rQm,1,368640,8728,2.37
7aEbXfVnzhG6dRMLT58q,1,360448,90216,25.03
7akW4s9DnVjR20eflLYm,1,131072,8604,6.56
7C3msQWn96FlYTj1wGSc,1,118784,13436,11.31
7CAzl4vfXB9jtU5eaSPV,1,679936,19568,2.88
7DIjuLVbOBykxWXT6ciw,1,753664,4868,0.65
7DLNKwxjz5AoPZtcXrHB,1,159744,332,0.21
7DNt8JzkhC5u3dfxnXLZ,1,159744,23264,14.56
7EP1JTkcfG6hdVUe2RHY,1,184320,25300,13.73
7fVDenWBIwTcLtGZzOAY,1,262144,1044,0.4
7gGtd38URDHjCQsav6fI,1,200704,7752,3.86
7Hpbm3GO2YECvoVQATt1,1,344064,4660,1.35
7IFRYGVPBrp5Lmb9xTlv,1,200704,28128,14.01
7IrpXlvH6LOStVaewBPg,1,122880,284,0.23
7K1zacbZA3HIjStR6kOs,1,1282048,269364,21.01
7kJzQC3OVyUXgBuLcnfj,1,466944,71120,15.23
7krBiEAcFbZxTJsah04S,1,466944,21132,4.53
7KuBf9wZiUkFYoatEMNz,1,253952,11168,4.4
7l4AkQw3Gx8XRcJO1gaK,1,151552,292,0.19
7lLYUIrghGAcTnmWvEPC,1,172032,48,0.03
7mHG3hRAz15I8CSo9Kej,1,180224,4336,2.41
7MQb5VEYLiSBPt1GZgeJ,1,356352,11536,3.24
7NE0UFrvqLBgyuPcxkmR,1,151552,368,0.24
7O0WDlde2cJBq9VuM5nR,1,299008,4340,1.45
7pdzUjNQPFyw41B0a8gR,1,524288,4712,0.9
7PpZMfi3L0TNnxFKvuVj,1,155648,536,0.34
7qKcamLjgNfwJb0B3z9I,1,184320,13128,7.12
7QtHrPMIOSsxAde6wnv0,1,192512,27360,14.21
7rneDC6Ng10vEPuicRWV,1,491520,9032,1.84
7RVrih9gAL1FodIKNTc2,1,131072,26740,20.4
7s4hmScB9p6HZfNFwVri,1,159744,15340,9.6
7SYuaZ8je5XbBpV6w0Ti,1,507904,20468,4.03
7t2LuUCxAsgdqwWGIXY6,1,143360,4524,3.16
7TCJgElGe5zdMK94wqoU,1,286720,15092,5.26
7upD1xywIeOmibLNPSo4,1,233472,244,0.1
7w95c0pt83SLYuHBeRlG,1,1425408,144928,10.17
7wpdECAtSosOImULRkQW,1,307200,33992,11.07
7wv5xnFcR2XleO19DyJb,1,126976,164,0.13
7xwMNplsj3EhBJ0Zkd9Q,1,729088,8836,1.21
7zygNrKJ614ea2vuSlBk,1,462848,15740,3.4
80G5QtOzNdR9CVxTJ3Uv,1,2043904,9436,0.46
80gD69r3peFlTAGtXzu7,1,167936,4768,2.84
81ulAd7ac20I3FRTXeYr,1,380928,9020,2.37
82kVSm5MBPszG7X13Zin,1,299008,9280,3.1
84OlNTMLw3uXFdqapGUv,1,458752,18964,4.13
84RrvZ0uc7kqOhsSDITN,1,151552,24732,16.32
85lCRjIZmV670qYBJSNo,1,532480,8796,1.65
87DkeyGYrEq3xpKFh9SO,1,122880,92,0.07
87FTRrZLn1WozgdYvbxQ,1,188416,720,0.38
89UZDSqlnhazBOCJrk3t,1,126976,11468,9.03
8APhEd3UCifDsc4zVemR,1,364544,16736,4.59
8bfAcO634YBuCm5ND1gx,1,131072,960,0.73
8cXfpniBZaYVAzg5xt19,1,720896,20980,2.91
8eiOKmj1ER6wzul0bpT5,1,606208,4532,0.75
8fgzBbsoHXwJ6UvDhmL4,1,249856,6744,2.7
8gtaP24AeukjmiJUoCKE,1,131072,8380,6.39
8H7F04qlbk1nuVtCmRzZ,1,2011136,55240,2.75
8hjIWlatZGceSXoTx14K,1,425984,580,0.14
8i6m0aVAwsdSY2FEfU59,1,122880,13156,10.71
8iBGtATMYPI0cqpVC2d5,1,356352,688,0.19
8IvKHQxUmoe2CBwatuOi,1,159744,29388,18.4
8iZw1cMaPBr4RJzxlFXH,1,1024000,17792,1.74
8JButIKigxSbR9cZ75qv,1,131072,15352,11.71
8jeHRBlOysCUn9FKaAuf,1,180224,408,0.23
8JOaeQSwmosFkM56D90g,1,196608,4332,2.2
8JUVDQ2tjPlZSRcYpzrw,1,643072,63104,9.81
8kOwptdojBs37lfMrzWK,1,159744,23812,14.91
8lGRJnmTIx3geu9fyFSs,1,131072,524,0.4
8LiHPj7EOaFpnN0uTAW9,1,151552,4356,2.87
8LtljiSurqc9QVgkBPwM,1,1601536,21364,1.33
8LyrjEcsXh1MGd4wg3eS,1,1257472,26324,2.09
8N0hVC6RFuGAdxJ4keKi,1,352256,4436,1.26
8nc3AGwk7qMWrEJhdSxP,1,286720,320,0.11
8p7F2yktHj4Sxd5IPJDs,1,331776,4984,1.5
8pfbAyu34zotUCZwsv2G,1,131072,7264,5.54
8PuImCboM1zNrUSD7OhV,1,151552,23240,15.33
8rKwml3nGVhWAiUjDH19,1,147456,22692,15.39
8s5WLuf0pivyOC7YI2er,1,245760,8520,3.47
8VgdXSO0oFDwArpq3kBT,1,184320,152,0.08
8VlJEcmXepIy9RS3GMTq,1,3448832,2425832,70.34
8W23ErmftGwoBqIAhecY,1,155648,232,0.15
8W7PJBs3cfumHjh6Mz5Z,1,188416,27812,14.76
8WnPIkqEpG1sOmLyBiYQ,1,1740800,4416,0.25
